index	table_id	annotator_id	premise	hypothesis	label
6876	T1104	GW28	 Bughouse chess is a game.  The number of players of Bughouse chess are 4.  The number of playing time of Bughouse chess are Usually 5-10 mins..  The synonym(s) of Bughouse chess is Exchange chess  , Siamese chess  , Tandem chess  , Tandem Put-Back  , Transfer chess  , Double chess  , Double blitz, Double speed  , Double bughouse, bughouse  , Double bug, bug  , Double Drop-In  , New England Double Bughouse  , Cross chess  , Simultaneous chess  ,  Team chess  , Pass-On chess  , Pass the Pieces.  	Bughouse chess is played with the same pieces as in regular chess.	1
16431	T2708	GW122	 The genres of Dave Bautista is Progressive rock, hard rock, instrumental rock, avant-rock.  The years active of Dave Bautista was on 1999-2002, 2004-present.  The members of Dave Bautista is Konstantin Mochalov  (guitar) (1999-2002, 2004-present)  ,   Nikolay Syrtsev  (bass) (1999-2002, 2004-present)  ,   Eugeniy Kudryashov  (drums) (1999-2002, 2004-present)  ,   Fyodor Amirov  (keyboard) (2015-present).  The past members of Dave Bautista is Yuri Alaverdyan  (guitar) (1999-2002, 2004)  ,   Sergey Bagin  (guitar) (2004-2015).  	The Years Active is 1999–2002, 2006–present	1
7180	T1142	GW22	 The former names of Princeton University is College of New Jersey ,  (1746-1896).  The academic staff of Princeton University is 1,238.  The sporting affiliations of Princeton University is NCAA Division I , Ivy League, ECAC Hockey, EARC, EIVA , MAISA.  The academic affiliations of Princeton University is AAU , URA , NAICU. 	Princeton University has academic affiliations from AAU, URA and NAICU only.	1
12692	T2291	GW114	 Cutty Sark is a food&drink.  The type of Cutty Sark is Scotch Whisky.  The manufacturer of Cutty Sark is The Edrington Group.  The alcohol by volume of Cutty Sark is 40%.  	Cutty Sark is a range of blended Scotch whisky produced by La Martiniquaise.	2
9144	T1414	GW84	 Jesse Ramsden is a person.  Jesse Ramsden was born on ( 1735-10-06 ) 6 October 1735  Salterhebble, Yorkshire, UK.  Jesse Ramsden was known for Dividing engine, Ramsden eyepiece, Surveying instruments, Optical telescopes.  The fields of Jesse Ramsden are astronomical, optics.  	Jesse Ramsden was known for his work in science.	2
9805	T1589	GW1	 Katy Lied was released on March 1975.  Katy Lied was recorded on November 1974-January 1975.  The studio of Katy Lied is ABC, Los Angeles.  The length of Katy Lied is 35 : 25. 	Listening to all of Katy Lied takes more than an hour.	0
5677	T1282	GW28	 Camila is a album.  The studio of Camila are Windmark (Santa Monica), Electric Feel (West Hollywood), NightBird (West Hollywood), Twentynine Lions (Studio City).  The genre of Camila are Pop, R&B.  The producer of Camila are Frank Dukes (also  exec.), Camila Cabello, Pharrell Williams, Jarami, Skrillex, T-Minus, Bart Schoudel, The Futuristics, SickDrumz, Jesse Shatkin, Brian Lee, Andrew Watts.  	Camila is multi-genre but classical music focused compilation.	0
13029	T2328	GW119	 Enai Noki Paayum Thota was distributed by K Productions.  Enai Noki Paayum Thota was produced by P. Madan , Gautham Vasudev Menon , Venkat Somasundaram , Reshma Ghatala.  Enai Noki Paayum Thota was directed by Gautham Vasudev Menon.  The cinematography of Enai Noki Paayum Thota was by Jomon T. John , Manoj Paramahamsa. 	Enai Noki Paayum Thota is distributed in India by K Productions and by other companies in other countries.	1
13075	T2333	GW28	 Extremadura VdlT is a city.  The type of Extremadura VdlT is Vino de la Tierra.  The country of Extremadura VdlT is Spain.  	Extremadura VdlT is a wine that comes from Portugal.	0
4080	T639	GW28	 The wine type of Cortese di Gavi is DOCG.  The ingredient grapes of Cortese di Gavi is Cortese: 100.0%.   The maximum grape yield of Cortese di Gavi is 70.0%.  The alcohol by volume of wine (minimum) of Cortese di Gavi is 10.5%. 	Cortese di Gavi is an award-winning wine.	1
